Order ID,Customer ID,Order Date,Product ID,Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost
CA-2012-124891,RH-19495,2012-07-31,TEC-AC-10003033,Technology,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309.65,7,0.00,762.18,933.57
IN-2013-77878,JR-16210,2013-05-02,FUR-CH-10003950,Furniture,"Novimex Executive Leather Armchair, Black",3709.4,9,0.10,-288.77,923.63
IN-2013-71249,CR-12730,2013-10-17,TEC-PH-10004664,Technology,"Nokia Smart Phone, with Caller ID",5175.17,9,0.10,919.97,915.49
ES-2013-1579342,KM-16375,2013-01-28,TEC-PH-10004583,Technology,"Motorola Smart Phone, Cordless",2892.51,5,0.10,-96.54,910.16
SG-2013-4320,RH-9495,2013-05-11,TEC-SHA-10000501,Technology,"Sharp Wireless Fax, High-Speed",2832.96,8,0.00,311.52,903.04
IN-2013-42360,JM-15655,2013-06-28,TEC-PH-10000030,Technology,"Samsung Smart Phone, with Caller ID",2862.68,5,0.10,763.28,897.35
IN-2011-81826,TS-21340,2011-07-11,FUR-CH-10004050,Furniture,"Novimex Executive Leather Armchair, Adjustable",1822.08,4,0.00,564.84,894.77
IN-2012-86369,MB-18085,2012-04-14,FUR-TA-10002958,Furniture,"Chromcraft Conference Table, Fully Assembled",5244.84,6,0.00,996.48,878.38
CA-2014-135909,JW-15220,2014-10-14,OFF-BI-10003527,Office Supplies,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,5083.96,5,0.20,1906.49,867.69
CA-2012-116638,JH-15985,2012-01-28,FUR-TA-10000198,Furniture,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.64,13,0.40,-1862.31,865.74
CA-2011-102988,GM-14695,2011-05-04,OFF-SU-10002881,Office Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164.05,5,0.00,83.28,846.54
ID-2012-28402,AJ-10780,2012-04-19,FUR-TA-10001889,Furniture,"Bevis Conference Table, Fully Assembled",4626.15,5,0.00,647.55,835.57
SA-2011-1830,MM-7260,2011-12-27,TEC-CIS-10001717,Technology,"Cisco Smart Phone, with Caller ID",2616.96,4,0.00,1151.4,832.41
MX-2012-130015,VF-21715,2012-11-13,FUR-CH-10002033,Furniture,"Harbour Creations Executive Leather Armchair, Adjustable",2221.8,7,0.00,622.02,810.25
IN-2013-73951,PF-19120,2013-06-06,OFF-AP-10003500,Office Supplies,"KitchenAid Microwave, White",3701.52,12,0.00,1036.08,804.54
ES-2014-5099955,BP-11185,2014-07-31,OFF-AP-10000423,Office Supplies,"Breville Refrigerator, Red",1869.59,4,0.10,186.95,801.66
CA-2014-143567,TB-21175,2014-03-11,TEC-AC-10004145,Technology,Logitech diNovo Edge Keyboard,2249.91,9,0.00,517.48,780.7
ES-2014-1651774,PJ-18835,2014-08-09,OFF-AP-10004512,Office Supplies,"Hoover Stove, Red",7958.58,14,0.00,3979.08,778.32
IN-2014-11763,JS-15685,2014-01-31,TEC-CO-10000865,Technology,"Brother Fax Machine, High-Speed",2565.59,9,0.10,28.4,766.93
TZ-2014-8190,RH-9555,2014-05-12,OFF-KIT-10004058,Office Supplies,"KitchenAid Stove, White",3409.74,6,0.00,818.28,763.38
PL-2012-7820,AB-600,2012-08-08,FUR-HON-10000224,Furniture,"Hon Computer Table, with Bottom Storage",1977.72,4,0.00,276.84,759.47
CA-2011-154627,SA-20830,2011-10-29,TEC-PH-10001363,Technology,Apple iPhone 5S,2735.95,6,0.20,341.99,752.51
IN-2011-44803,JK-15325,2011-02-05,FUR-CH-10000027,Furniture,"SAFCO Executive Leather Armchair, Black",2754,6,0.00,358.02,752.47
ES-2013-2860574,LB-16795,2013-02-27,OFF-AP-10003590,Office Supplies,"KitchenAid Refrigerator, Black",5273.7,10,0.00,1898.4,730.91
US-2014-133193,NP-18325,2014-07-31,TEC-PH-10004182,Technology,"Motorola Smart Phone, Full Size",1713.84,4,0.00,445.52,728.97
MX-2014-165309,VD-21670,2014-05-09,FUR-TA-10002827,Furniture,"Hon Computer Table, Fully Assembled",2106.5,8,0.20,526.5,728.39
IN-2011-10286,PB-19210,2011-12-17,FUR-TA-10004744,Furniture,"Lesro Conference Table, with Bottom Storage",1715.16,2,0.00,720.36,725.57
ES-2011-4699764,EB-14110,2011-03-14,OFF-AP-10004512,Office Supplies,"Hoover Stove, Red",3069.74,6,0.10,1364.24,725.34
CA-2013-159016,KF-16285,2013-11-03,TEC-PH-10002885,Technology,Apple iPhone 5,4158.91,8,0.20,363.9,714.66
IN-2012-44810,BP-11230,2012-02-25,FUR-CH-10001415,Furniture,"Office Star Executive Leather Armchair, Red",1878.72,4,0.00,582.36,704.08
US-2011-128776,RR-19525,2011-12-28,TEC-PH-10002815,Technology,"Samsung Smart Phone, VoIP",1696.64,5,0.20,-148.46,704.06
ES-2012-5870268,BS-11365,2012-07-17,TEC-MA-10000161,Technology,"Okidata Inkjet, Wireless",2402.87,9,0.15,763.16,699.55
CA-2012-139731,JE-15745,2012-10-15,FUR-CH-10002024,Furniture,HON 5400 Series Task Chairs for Big and Tall,2453.43,5,0.30,-350.49,690.42
IN-2011-28087,DP-13105,2011-03-11,OFF-AP-10004246,Office Supplies,"Breville Stove, Red",2526.93,5,0.10,561.48,689.8
CA-2011-168494,NP-18700,2011-12-12,FUR-TA-10003473,Furniture,Bretford Rectangular Conference Table Tops,3610.85,12,0.20,135.41,683.12
CG-2011-8610,AH-30,2011-09-14,TEC-APP-10000308,Technology,"Apple Smart Phone, Full Size",3817.26,6,0.00,1068.66,678.15
CA-2011-160766,DM-13015,2011-09-14,TEC-MA-10003979,Technology,Ativa V4110MDD Micro-Cut Shredder,2799.96,4,0.00,1371.98,675.15
US-2014-168116,GT-14635,2014-05-11,TEC-MA-10004125,Technology,Cubify CubeX 3D Printer Triple Head Print,7999.98,4,0.50,-3839.99,674.82
ES-2014-2637201,PO-18865,2014-01-14,TEC-CO-10000013,Technology,"Brother Fax Machine, Laser",4141.02,13,0.00,1697.67,668.96
IN-2011-61302,DL-12865,2011-10-01,TEC-PH-10004664,Technology,"Nokia Smart Phone, with Caller ID",2875.1,5,0.10,511.1,665.27
ID-2013-63976,JB-16000,2013-08-22,TEC-PH-10000499,Technology,"Motorola Smart Phone, Full Size",3200.6,6,0.17,-77.2,660.87
IN-2014-37320,BF-11005,2014-11-11,TEC-PH-10003856,Technology,"Motorola Smart Phone, with Caller ID",4518.78,7,0.00,632.52,658.69
IN-2014-76016,VG-21805,2014-09-26,FUR-BO-10004852,Furniture,"Sauder Classic Bookcase, Traditional",5667.87,13,0.00,2097.03,658.35
ES-2012-5877219,GT-14710,2012-12-13,TEC-PH-10004583,Technology,"Motorola Smart Phone, Cordless",5785.02,9,0.00,404.73,656.73
IT-2011-3183678,ZC-21910,2011-09-23,OFF-AP-10000486,Office Supplies,"Cuisinart Stove, Silver",3018.62,7,0.20,377.24,655.91
CA-2011-116904,SC-20095,2011-09-23,OFF-BI-10001120,Office Supplies,Ibico EPK-21 Electric Binding System,9449.95,5,0.00,4630.48,655.61
IT-2013-3085011,EB-13840,2013-08-03,FUR-CH-10003365,Furniture,"Office Star Executive Leather Armchair, Adjustable",2092.5,5,0.10,720.75,652.98
IN-2014-50473,AP-10915,2014-08-28,FUR-CH-10000602,Furniture,"Novimex Executive Leather Armchair, Red",2761.2,6,0.00,110.34,644.75
IN-2014-35983,SW-20275,2014-01-05,TEC-MA-10002680,Technology,"Konica Inkjet, White",2174.13,7,0.00,500.01,637.86
MX-2014-126984,JH-15820,2014-12-18,FUR-CH-10000891,Furniture,"Harbour Creations Executive Leather Armchair, Black",3473.14,11,0.00,868.12,634.53
US-2012-163825,LC-16885,2012-06-16,OFF-BI-10003527,Office Supplies,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3050.38,3,0.20,1143.89,632.05
